id,text,user_id,sender_id,sender_name,sent_date,sentiment,word_count,created_at,updated_at,twitter_id
25,Cool. Tell me more. https://t.co/fYJIKav4x4,3,174508651,erieleisrandom,2017-06-07 14:05:13 +0000,1,5,2017-06-08 13:01:27.020734,2017-06-08 13:01:27.020734,8.72454400060555e+17
26,https://t.co/6l7ixRfxiR,3,74903971,_Ibroheem,2017-06-07 08:12:09 +0000,0,1,2017-06-08 13:01:27.026474,2017-06-08 13:01:27.026474,8.72365550478995e+17
27,https://t.co/HzWVSErtDQ,3,232722665,Miranduhh19,2017-06-07 06:12:22 +0000,0,1,2017-06-08 13:01:27.031915,2017-06-08 13:01:27.031915,8.72335405651309e+17
28,https://t.co/cbOAPXzE4j,3,232722665,Miranduhh19,2017-06-07 06:11:37 +0000,0,1,2017-06-08 13:01:27.037438,2017-06-08 13:01:27.037438,8.72335218232963e+17
29,https://t.co/jh2nlbPMJZ,3,232722665,Miranduhh19,2017-06-07 04:32:31 +0000,0,1,2017-06-08 13:01:27.042996,2017-06-08 13:01:27.042996,8.72310278263894e+17
30,https://t.co/4Nqt1YvSf4,3,74903971,_Ibroheem,2017-06-07 04:17:16 +0000,0,1,2017-06-08 13:01:27.048584,2017-06-08 13:01:27.048584,8.7230643762362e+17
31,"I mean honestly, it is what it is. In the end, people who become dominant athletes don't only work hard but they have some biological ...",3,174508651,erieleisrandom,2017-06-07 03:57:17 +0000,1,26,2017-06-08 13:01:27.054692,2017-06-08 13:01:27.054692,8.723014112326e+17
32,https://t.co/YRsnHPcNmG,3,74903971,_Ibroheem,2017-06-07 03:24:10 +0000,0,1,2017-06-08 13:01:27.060686,2017-06-08 13:01:27.060686,8.72293074562675e+17
33,https://t.co/WCcaZ4py28,3,74903971,_Ibroheem,2017-06-07 03:16:30 +0000,0,1,2017-06-08 13:01:27.066282,2017-06-08 13:01:27.066282,8.72291147238048e+17
34,https://t.co/SN95yDdMq5,3,74903971,_Ibroheem,2017-06-06 19:44:02 +0000,0,1,2017-06-08 13:01:27.071569,2017-06-08 13:01:27.071569,8.72177278108697e+17
35,https://t.co/A4dhK8DlGq,3,74903971,_Ibroheem,2017-06-06 18:36:46 +0000,0,1,2017-06-08 13:01:27.076603,2017-06-08 13:01:27.076603,8.72160350233383e+17
36,https://t.co/Uebzy5Aces,3,258048865,nadyaisabelle_,2017-06-06 16:21:31 +0000,0,1,2017-06-08 13:01:27.082327,2017-06-08 13:01:27.082327,8.72126316891558e+17
37,https://t.co/MrLm0KCm79,3,232722665,Miranduhh19,2017-06-06 04:26:52 +0000,0,1,2017-06-08 13:01:27.088057,2017-06-08 13:01:27.088057,8.71946466394202e+17
38,https://t.co/FHDmm984kr,3,232722665,Miranduhh19,2017-06-06 04:22:40 +0000,0,1,2017-06-08 13:01:27.093387,2017-06-08 13:01:27.093387,8.71945409668633e+17
39,She never jumped on the cars!! https://t.co/GGRiQf2Xc3,3,232722665,Miranduhh19,2017-06-06 03:56:05 +0000,0,7,2017-06-08 13:01:27.098939,2017-06-08 13:01:27.098939,8.71938722408784e+17
40,https://t.co/qpEv4y9VW5,3,232722665,Miranduhh19,2017-06-06 03:54:04 +0000,0,1,2017-06-08 13:01:27.104449,2017-06-08 13:01:27.104449,8.71938212905669e+17
41,https://t.co/2luDwBWKCH,3,232722665,Miranduhh19,2017-06-06 03:39:02 +0000,0,1,2017-06-08 13:01:27.110304,2017-06-08 13:01:27.110304,8.71934431774228e+17
42,https://t.co/sLPaO80Kmz,3,232722665,Miranduhh19,2017-06-06 03:28:39 +0000,0,1,2017-06-08 13:01:27.116281,2017-06-08 13:01:27.116281,8.71931818655728e+17
43,Me loolololol https://t.co/mnRNR66uBE,3,174508651,erieleisrandom,2017-06-06 03:01:04 +0000,0,3,2017-06-08 13:01:27.12151,2017-06-08 13:01:27.12151,8.71924875161686e+17
44,https://t.co/iTAAZuWYr4,3,174508651,erieleisrandom,2017-06-06 02:52:13 +0000,0,1,2017-06-08 13:01:27.126729,2017-06-08 13:01:27.126729,8.71922647638188e+17
45,Do you think Jada misses him sometimes? https://t.co/nA6DSKUPzN,3,174508651,erieleisrandom,2017-06-05 20:22:35 +0000,-1,8,2017-06-08 13:01:27.131773,2017-06-08 13:01:27.131773,8.71824592372945e+17
46,https://t.co/hc28J9srLr,3,1914258427,urbannative_,2017-06-05 17:52:54 +0000,0,1,2017-06-08 13:01:27.136907,2017-06-08 13:01:27.136907,8.71786924482195e+17
47,https://t.co/dz1oGimdVm,3,174508651,erieleisrandom,2017-06-05 15:59:38 +0000,0,1,2017-06-08 13:01:27.141844,2017-06-08 13:01:27.141844,8.71758419170132e+17
48,https://t.co/Ku0tPSXF9z,3,232722665,Miranduhh19,2017-06-05 15:52:36 +0000,0,1,2017-06-08 13:01:27.147191,2017-06-08 13:01:27.147191,8.7175664949239e+17
49,The last one lmfao https://t.co/5yjyeekipz,3,1607348432,thelastsolange,2017-06-05 15:03:12 +0000,0,5,2017-06-08 13:01:27.152021,2017-06-08 13:01:27.152021,8.71744216334037e+17
50,https://t.co/9mjzvyfmcC,3,1607348432,thelastsolange,2017-06-05 14:59:47 +0000,0,1,2017-06-08 13:01:27.156536,2017-06-08 13:01:27.156536,8.71743359446077e+17
51,"""Serious""",3,1607348432,thelastsolange,2017-06-05 14:25:06 +0000,-1,1,2017-06-08 13:01:27.160863,2017-06-08 13:01:27.160863,8.71734628540985e+17
52,Unless I know it's serious lol,3,1607348432,thelastsolange,2017-06-05 14:24:53 +0000,0,6,2017-06-08 13:01:27.165531,2017-06-08 13:01:27.165531,8.71734576787464e+17
53,Butttt I usually end up sayin it,3,1607348432,thelastsolange,2017-06-05 14:24:41 +0000,0,7,2017-06-08 13:01:27.170388,2017-06-08 13:01:27.170388,8.71734524253753e+17
54,Lmaoooo,3,1607348432,thelastsolange,2017-06-05 14:12:17 +0000,0,1,2017-06-08 13:01:27.175173,2017-06-08 13:01:27.175173,8.71731406317244e+17
55,"""I get so mad when you be like Ima just keep my mouth shut """,3,1607348432,thelastsolange,2017-06-05 14:12:14 +0000,0,15,2017-06-08 13:01:27.182087,2017-06-08 13:01:27.182087,8.71731389934313e+17
56,"""I love when you get loose "" lmfao",3,1607348432,thelastsolange,2017-06-05 14:11:54 +0000,1,8,2017-06-08 13:01:27.186832,2017-06-08 13:01:27.186832,8.71731308220887e+17
57,"""💀💀💀💀💀",3,1607348432,thelastsolange,2017-06-05 14:11:45 +0000,0,1,2017-06-08 13:01:27.191283,2017-06-08 13:01:27.191283,8.71731268756673e+17
58,🙄💀💀💀,3,1607348432,thelastsolange,2017-06-05 14:11:34 +0000,0,1,2017-06-08 13:01:27.1959,2017-06-08 13:01:27.1959,8.71731224196338e+17
59,And jalen Larry you were prolly fucking the shit outta *insert old gf name here* and was not feeling her so bye,3,1607348432,thelastsolange,2017-06-05 14:07:58 +0000,0,22,2017-06-08 13:01:27.200391,2017-06-08 13:01:27.200391,8.71730316846793e+17
60,Also he or she is funny af,3,1607348432,thelastsolange,2017-06-05 14:07:16 +0000,1,7,2017-06-08 13:01:27.204806,2017-06-08 13:01:27.204806,8.71730143244497e+17
61,Yooo she could play Wanda or ebony lol,3,1607348432,thelastsolange,2017-06-05 14:06:51 +0000,2,8,2017-06-08 13:01:27.209388,2017-06-08 13:01:27.209388,8.71730036021264e+17
62,Omg pls no,3,174508651,erieleisrandom,2017-06-05 13:51:14 +0000,0,3,2017-06-08 13:01:27.214174,2017-06-08 13:01:27.214174,8.71726107287994e+17
63,One good relationship and they they're now the relationship guru,3,1549542475,savemoney__,2017-06-05 13:32:33 +0000,1,10,2017-06-08 13:01:27.218348,2017-06-08 13:01:27.218348,8.71721405922124e+17
64,Preach,3,1549542475,savemoney__,2017-06-05 13:32:17 +0000,0,1,2017-06-08 13:01:27.222318,2017-06-08 13:01:27.222318,8.71721338985226e+17
65,Because we out grew this lmao,3,174508651,erieleisrandom,2017-06-05 12:59:58 +0000,0,6,2017-06-08 13:01:27.22636,2017-06-08 13:01:27.22636,8.71713205340557e+17
66,I really hope this video is old,3,174508651,erieleisrandom,2017-06-05 12:59:51 +0000,1,7,2017-06-08 13:01:27.230631,2017-06-08 13:01:27.230631,8.71713176932553e+17
67,😂😂,3,174508651,erieleisrandom,2017-06-05 12:59:44 +0000,0,1,2017-06-08 13:01:27.235107,2017-06-08 13:01:27.235107,8.7171314818055e+17
68,https://t.co/XlXGi9jsA1,3,74903971,_Ibroheem,2017-06-05 12:58:59 +0000,0,1,2017-06-08 13:01:27.239575,2017-06-08 13:01:27.239575,8.71712959445295e+17
69,"Got the ""cool story bro"" tshirt on",3,174508651,erieleisrandom,2017-06-05 12:55:30 +0000,1,7,2017-06-08 13:01:27.244625,2017-06-08 13:01:27.244625,8.71712083083235e+17
70,"But also, can we do a quick analysis of this little video.",3,174508651,erieleisrandom,2017-06-05 12:14:24 +0000,0,12,2017-06-08 13:01:27.248902,2017-06-08 13:01:27.248902,8.71701737085821e+17
71,But I thought it was going to be a dance video because in the beginning they swung their hangs around.,3,174508651,erieleisrandom,2017-06-05 12:13:52 +0000,0,20,2017-06-08 13:01:27.253407,2017-06-08 13:01:27.253407,8.7170160520851e+17
72,They did a good job though lmaooo,3,174508651,erieleisrandom,2017-06-05 12:12:10 +0000,1,7,2017-06-08 13:01:27.257789,2017-06-08 13:01:27.257789,8.71701175866991e+17
73,Omg I just woke up and this is tew much lmaooo https://t.co/lJa9jgIAga,3,174508651,erieleisrandom,2017-06-05 11:58:30 +0000,0,12,2017-06-08 13:01:27.262308,2017-06-08 13:01:27.262308,8.71697737649181e+17
74,https://t.co/NkhTUb8lxb,3,74903971,_Ibroheem,2017-06-05 11:43:46 +0000,0,1,2017-06-08 13:01:27.266579,2017-06-08 13:01:27.266579,8.71694029968343e+17
75,loooool,3,27982955,TheB__Word,2017-06-05 10:48:09 +0000,0,1,2017-06-08 13:01:27.270975,2017-06-08 13:01:27.270975,8.71680032669917e+17
76,https://t.co/iOrCSK9R0Y,3,27982955,TheB__Word,2017-06-05 08:28:18 +0000,0,1,2017-06-08 13:01:27.275766,2017-06-08 13:01:27.275766,8.71644837648454e+17
77,thats real,3,27982955,TheB__Word,2017-06-05 08:15:25 +0000,0,2,2017-06-08 13:01:27.279944,2017-06-08 13:01:27.279944,8.7164159448261e+17
78,https://t.co/csK8oQPW4G,3,74903971,_Ibroheem,2017-06-05 07:00:20 +0000,0,1,2017-06-08 13:01:27.284102,2017-06-08 13:01:27.284102,8.71622702343365e+17
79,No I'm just going through my TL but obvi you're holding out on me,3,277796845,gabriellebangs,2017-06-05 06:19:09 +0000,0,14,2017-06-08 13:01:27.293561,2017-06-08 13:01:27.293561,8.71612337228177e+17
80,And yeah college is cool except for the actually school part,3,232722665,Miranduhh19,2017-06-05 06:10:32 +0000,1,11,2017-06-08 13:01:27.298353,2017-06-08 13:01:27.298353,8.71610167502057e+17
81,That video is sick! Lmaooo,3,232722665,Miranduhh19,2017-06-05 06:10:17 +0000,-1,5,2017-06-08 13:01:27.30274,2017-06-08 13:01:27.30274,8.71610104654602e+17
82,Brb shaving my head and dying it pink https://t.co/VBVCBgqZs7,3,277796845,gabriellebangs,2017-06-05 06:07:49 +0000,0,9,2017-06-08 13:01:27.307583,2017-06-08 13:01:27.307583,8.71609484233196e+17
83,This bastard https://t.co/VBVCBgqZs7,3,277796845,gabriellebangs,2017-06-05 06:07:35 +0000,0,3,2017-06-08 13:01:27.312218,2017-06-08 13:01:27.312218,8.7160942497611e+17
84,https://t.co/AcBvAhp0Kq,3,277796845,gabriellebangs,2017-06-05 06:06:32 +0000,0,1,2017-06-08 13:01:27.317283,2017-06-08 13:01:27.317283,8.71609163402453e+17
85,https://t.co/Oc563xWLp2,3,277796845,gabriellebangs,2017-06-05 06:06:28 +0000,0,1,2017-06-08 13:01:27.323081,2017-06-08 13:01:27.323081,8.7160914367674e+17
86,Lolllll https://t.co/QX9Mveyrhn,3,277796845,gabriellebangs,2017-06-05 05:42:07 +0000,0,2,2017-06-08 13:01:27.327869,2017-06-08 13:01:27.327869,8.71603017933505e+17
87,💀,3,1914258427,urbannative_,2017-06-05 05:38:33 +0000,0,1,2017-06-08 13:01:27.332368,2017-06-08 13:01:27.332368,8.71602118611882e+17
88,https://t.co/cIzIKMuQiO,3,74903971,_Ibroheem,2017-06-05 05:35:11 +0000,0,1,2017-06-08 13:01:27.337677,2017-06-08 13:01:27.337677,8.7160127247401e+17
89,https://t.co/tDA6B5sKjm,3,74903971,_Ibroheem,2017-06-05 05:27:19 +0000,0,1,2017-06-08 13:01:27.342339,2017-06-08 13:01:27.342339,8.7159929408374e+17
90,https://t.co/Q3FfLw0qTM,3,74903971,_Ibroheem,2017-06-05 05:23:08 +0000,0,1,2017-06-08 13:01:27.34688,2017-06-08 13:01:27.34688,8.71598238406717e+17
91,https://t.co/hcGNm9E3FL,3,74903971,_Ibroheem,2017-06-05 05:22:10 +0000,0,1,2017-06-08 13:01:27.351145,2017-06-08 13:01:27.351145,8.7159799694907e+17
92,https://t.co/yVFVgR3SIj,3,174508651,erieleisrandom,2017-06-05 01:43:34 +0000,0,1,2017-06-08 13:01:27.355419,2017-06-08 13:01:27.355419,8.71542984407491e+17
93,https://t.co/cqLu5KfSr2,3,232722665,Miranduhh19,2017-06-04 21:20:51 +0000,0,1,2017-06-08 13:01:27.359559,2017-06-08 13:01:27.359559,8.71476868914049e+17
94,https://t.co/jb1UPYiFz4,3,74903971,_Ibroheem,2017-06-04 20:35:13 +0000,0,1,2017-06-08 13:01:27.363799,2017-06-08 13:01:27.363799,8.71465385949676e+17
95,https://t.co/K12cUgkYe5,3,232722665,Miranduhh19,2017-06-04 20:28:26 +0000,0,1,2017-06-08 13:01:27.369175,2017-06-08 13:01:27.369175,8.71463678973022e+17
96,https://t.co/rrB71pbkek,3,74903971,_Ibroheem,2017-06-04 20:23:28 +0000,0,1,2017-06-08 13:01:27.373775,2017-06-08 13:01:27.373775,8.71462426218119e+17
97,https://t.co/rrB71pbkek,3,74903971,_Ibroheem,2017-06-04 20:22:55 +0000,0,1,2017-06-08 13:01:27.378236,2017-06-08 13:01:27.378236,8.71462290926653e+17
98,https://t.co/NXivgH9n1F,3,232722665,Miranduhh19,2017-06-04 20:22:45 +0000,0,1,2017-06-08 13:01:27.382722,2017-06-08 13:01:27.382722,8.7146224885796e+17
99,https://t.co/NKKr9AQMRk,3,74903971,_Ibroheem,2017-06-04 20:21:42 +0000,0,1,2017-06-08 13:01:27.387125,2017-06-08 13:01:27.387125,8.71461984243286e+17
100,https://t.co/B1fSmyU5aZ,3,74903971,_Ibroheem,2017-06-04 20:19:32 +0000,0,1,2017-06-08 13:01:27.391477,2017-06-08 13:01:27.391477,8.71461436387541e+17
101,https://t.co/FM5qMTmP7U,3,74903971,_Ibroheem,2017-06-04 20:19:07 +0000,0,1,2017-06-08 13:01:27.396175,2017-06-08 13:01:27.396175,8.71461331307643e+17
102,??,3,174508651,erieleisrandom,2017-06-04 20:15:27 +0000,0,1,2017-06-08 13:01:27.400997,2017-06-08 13:01:27.400997,8.71460409399583e+17
103,https://t.co/5qWgRemt4C,3,74903971,_Ibroheem,2017-06-04 20:14:38 +0000,0,1,2017-06-08 13:01:27.405836,2017-06-08 13:01:27.405836,8.71460204524716e+17
104,https://t.co/Vwx15GTctK,3,74903971,_Ibroheem,2017-06-04 20:10:12 +0000,0,1,2017-06-08 13:01:27.4104,2017-06-08 13:01:27.4104,8.71459090928554e+17
105,https://t.co/UmfTG1gauZ,3,232722665,Miranduhh19,2017-06-04 19:55:32 +0000,0,1,2017-06-08 13:01:27.41499,2017-06-08 13:01:27.41499,8.71455398758408e+17
160,but he clearly just did it for reactions,3,1607348432,thelastsolange,2017-05-31 05:26:38 +0000,0,8,2017-06-08 13:01:27.681922,2017-06-08 13:01:27.681922,8.69787183158366e+17
106,"Is it bad that I thought to myself ""yay she stuck to her own culture?"" https://t.co/EMKkX8YP9M",3,174508651,erieleisrandom,2017-06-04 18:45:37 +0000,-1,16,2017-06-08 13:01:27.419356,2017-06-08 13:01:27.419356,8.71437802994643e+17
107,https://t.co/kKpncJ6Hmx,3,258048865,nadyaisabelle_,2017-06-04 15:38:24 +0000,0,1,2017-06-08 13:01:27.425101,2017-06-08 13:01:27.425101,8.71390687270404e+17
108,https://t.co/5qzzz0o5Nb,3,277796845,gabriellebangs,2017-06-04 04:41:11 +0000,0,1,2017-06-08 13:01:27.430603,2017-06-08 13:01:27.430603,8.71225292701958e+17
109,https://t.co/611Uz1p5UB,3,232722665,Miranduhh19,2017-06-04 03:00:55 +0000,0,1,2017-06-08 13:01:27.435529,2017-06-08 13:01:27.435529,8.71200063296557e+17
110,https://t.co/YVlVOq58uX,3,232722665,Miranduhh19,2017-06-03 22:48:12 +0000,0,1,2017-06-08 13:01:27.440099,2017-06-08 13:01:27.440099,8.71136461579583e+17
111,https://t.co/uskofx8gT8,3,232722665,Miranduhh19,2017-06-03 22:47:34 +0000,0,1,2017-06-08 13:01:27.444881,2017-06-08 13:01:27.444881,8.71136302963601e+17
112,https://t.co/sbPMyWuO8e,3,174508651,erieleisrandom,2017-06-03 16:34:53 +0000,0,1,2017-06-08 13:01:27.449277,2017-06-08 13:01:27.449277,8.71042514127647e+17
113,https://t.co/EjSFjbVbE1,3,74903971,_Ibroheem,2017-06-03 12:52:48 +0000,0,1,2017-06-08 13:01:27.453835,2017-06-08 13:01:27.453835,8.70986626754851e+17
114,https://t.co/K83jH6mWzD,3,258048865,nadyaisabelle_,2017-06-03 05:35:56 +0000,0,1,2017-06-08 13:01:27.458591,2017-06-08 13:01:27.458591,8.70876685863985e+17
115,https://t.co/CCaNOoRghd,3,174508651,erieleisrandom,2017-06-02 20:47:57 +0000,0,1,2017-06-08 13:01:27.464573,2017-06-08 13:01:27.464573,8.70743814323016e+17
116,https://t.co/1uIbQSlEK0,3,232722665,Miranduhh19,2017-06-02 15:07:24 +0000,0,1,2017-06-08 13:01:27.469419,2017-06-08 13:01:27.469419,8.70658112327496e+17
117,https://t.co/xZwyssvmuA,3,232722665,Miranduhh19,2017-06-02 15:06:41 +0000,0,1,2017-06-08 13:01:27.473721,2017-06-08 13:01:27.473721,8.70657929866875e+17
118,https://t.co/Q8XJn0Zhfs,3,232722665,Miranduhh19,2017-06-02 15:06:11 +0000,0,1,2017-06-08 13:01:27.477824,2017-06-08 13:01:27.477824,8.70657804473967e+17
119,https://t.co/AtFAu49ivs,3,258048865,nadyaisabelle_,2017-06-02 14:51:54 +0000,0,1,2017-06-08 13:01:27.482063,2017-06-08 13:01:27.482063,8.70654209917682e+17
120,https://t.co/fkoENnST1O,3,174508651,erieleisrandom,2017-06-02 14:51:33 +0000,0,1,2017-06-08 13:01:27.486332,2017-06-08 13:01:27.486332,8.70654122227364e+17
121,https://t.co/Ra6TGppphx,3,174508651,erieleisrandom,2017-06-02 14:50:19 +0000,0,1,2017-06-08 13:01:27.490502,2017-06-08 13:01:27.490502,8.70653811878134e+17
122,Wow this giraffe. https://t.co/B3QDSsQUkX,3,174508651,erieleisrandom,2017-06-02 14:22:51 +0000,0,4,2017-06-08 13:01:27.495007,2017-06-08 13:01:27.495007,8.70646901909197e+17
123,https://t.co/vJojFt59oI,3,1549542475,savemoney__,2017-06-02 07:06:15 +0000,0,1,2017-06-08 13:01:27.499168,2017-06-08 13:01:27.499168,8.70537028252955e+17
124,https://t.co/voJGbLxc20,3,174508651,erieleisrandom,2017-06-02 05:31:36 +0000,0,1,2017-06-08 13:01:27.503765,2017-06-08 13:01:27.503765,8.70513206162113e+17
125,https://t.co/Gfi4J9vodz,3,74903971,_Ibroheem,2017-06-02 02:45:17 +0000,0,1,2017-06-08 13:01:27.508372,2017-06-08 13:01:27.508372,8.70471350070137e+17
126,https://t.co/abFynOtZAq,3,74903971,_Ibroheem,2017-06-02 02:42:00 +0000,0,1,2017-06-08 13:01:27.512764,2017-06-08 13:01:27.512764,8.70470523532083e+17
127,https://t.co/alfXjRn2fR,3,74903971,_Ibroheem,2017-06-02 02:39:37 +0000,0,1,2017-06-08 13:01:27.517119,2017-06-08 13:01:27.517119,8.70469927383122e+17
128,https://t.co/UCSLYJcI3X,3,74903971,_Ibroheem,2017-06-02 02:39:08 +0000,0,1,2017-06-08 13:01:27.521829,2017-06-08 13:01:27.521829,8.70469806180389e+17
129,https://t.co/365kjd9iNo,3,74903971,_Ibroheem,2017-06-02 02:38:08 +0000,0,1,2017-06-08 13:01:27.526793,2017-06-08 13:01:27.526793,8.70469551443517e+17
130,https://t.co/UuAsalhQUz,3,74903971,_Ibroheem,2017-06-02 02:37:52 +0000,0,1,2017-06-08 13:01:27.531515,2017-06-08 13:01:27.531515,8.70469485529977e+17
131,https://t.co/GRg4rqjz19,3,74903971,_Ibroheem,2017-06-02 02:37:41 +0000,0,1,2017-06-08 13:01:27.535728,2017-06-08 13:01:27.535728,8.70469439111561e+17
132,https://t.co/AClpTtMAT1,3,74903971,_Ibroheem,2017-06-02 02:36:33 +0000,0,1,2017-06-08 13:01:27.540073,2017-06-08 13:01:27.540073,8.70469154251325e+17
133,https://t.co/6kfSCACKGy,3,74903971,_Ibroheem,2017-06-02 02:35:55 +0000,0,1,2017-06-08 13:01:27.544562,2017-06-08 13:01:27.544562,8.70468995094241e+17
134,https://t.co/GEnvye0sCz,3,74903971,_Ibroheem,2017-06-02 02:35:34 +0000,0,1,2017-06-08 13:01:27.549308,2017-06-08 13:01:27.549308,8.70468905398968e+17
135,https://t.co/Sy3DJbrV07,3,174508651,erieleisrandom,2017-06-01 19:51:35 +0000,0,1,2017-06-08 13:01:27.553828,2017-06-08 13:01:27.553828,8.7036723976099e+17
136,https://t.co/WdE06Y9FG0,3,232722665,Miranduhh19,2017-06-01 14:17:07 +0000,0,1,2017-06-08 13:01:27.558679,2017-06-08 13:01:27.558679,8.70283070179619e+17
137,https://t.co/GjSSe8nNlb,3,74903971,_Ibroheem,2017-06-01 11:21:08 +0000,0,1,2017-06-08 13:01:27.56334,2017-06-08 13:01:27.56334,8.70238780497707e+17
138,https://t.co/CsdggxiR1n,3,232722665,Miranduhh19,2017-06-01 02:44:54 +0000,0,1,2017-06-08 13:01:27.567975,2017-06-08 13:01:27.567975,8.70108868944245e+17
139,Lmaooo her ass drunk,3,1549542475,savemoney__,2017-06-01 02:18:25 +0000,0,4,2017-06-08 13:01:27.579748,2017-06-08 13:01:27.579748,8.70102202257469e+17
140,https://t.co/lDWDQfoYVr,3,232722665,Miranduhh19,2017-06-01 01:38:51 +0000,0,1,2017-06-08 13:01:27.585092,2017-06-08 13:01:27.585092,8.70092247139848e+17
141,https://t.co/gvzcmRFrPt,3,232722665,Miranduhh19,2017-06-01 01:38:07 +0000,0,1,2017-06-08 13:01:27.590074,2017-06-08 13:01:27.590074,8.70092062775022e+17
142,https://t.co/BTfvErGaum,3,232722665,Miranduhh19,2017-05-31 22:23:22 +0000,0,1,2017-06-08 13:01:27.594767,2017-06-08 13:01:27.594767,8.70043049979761e+17
